Firm_Name;Year;Year -1;Industry;ESG-SCORE;E-SCORE;S-SCORE;G-SCORE
L3 Technologies Inc;2015;2014;Aerospace & Defense;16.42917308;13.27116212;27.94572312;6.54506966
L3 Technologies Inc;2016;2015;Aerospace & Defense;24.18449555;21.34803922;39.06103286;10.03113295
L3 Technologies Inc;2017;2016;Aerospace & Defense;25.98538693;24.01960784;30.39347194;23.04602534
La Quinta Holdings Inc;2016;2015;Hotels & Entertainment Services;33.28868282;29.98366013;44.24882629;24.21608211
Ladder Capital Corp;2016;2015;Residential & Commercial REITs;32.65091595;24.56688155;49.18322722;22.42010021
Lamar Advertising Co;2008;2007;Residential & Commercial REITs;24.76578603;27.69973661;32.42589868;12.57928376
Lamar Advertising Co;2009;2008;Residential & Commercial REITs;24.35572074;21.36891794;37.4195792;12.47979681
Lamar Advertising Co;2010;2009;Residential & Commercial REITs;20.159726;20.74808184;26.86007348;11.7050888
Lamar Advertising Co;2011;2010;Residential & Commercial REITs;27.76457225;19.71507353;35.64407277;27.56656203
Lamar Advertising Co;2012;2011;Residential & Commercial REITs;22.55395278;16.84624345;35.4064984;13.95712484
Lamar Advertising Co;2013;2012;Residential & Commercial REITs;23.17880293;13.76874279;44.72521403;8.590096402
Lamar Advertising Co;2014;2013;Residential & Commercial REITs;24.01632441;15.46791444;45.14084507;8.958142631
Lamar Advertising Co;2015;2014;Residential & Commercial REITs;33.99220229;33.69995057;50.07101432;15.60330823
Lamar Advertising Co;2016;2015;Residential & Commercial REITs;34.21820483;39.98112614;44.70136326;15.59225568
Lamar Advertising Co;2017;2016;Residential & Commercial REITs;42.06912813;40.38303694;58.82410744;24.44700797
Landstar System Inc;2010;2009;Freight & Logistics Services;32.63151042;22.72058824;47.40610329;26.48309426
Las Vegas Sands Corp;2008;2007;Hotels & Entertainment Services;28.68816964;23.65196078;54.62441315;4.114217408
Las Vegas Sands Corp;2009;2008;Hotels & Entertainment Services;25.35269953;25.78707539;40.92441976;6.744016009
Las Vegas Sands Corp;2010;2009;Hotels & Entertainment Services;25.60829613;29.88445378;38.70724346;5.59511612
Las Vegas Sands Corp;2011;2010;Hotels & Entertainment Services;40.87550659;53.39486859;46.03685945;20.9120202
Las Vegas Sands Corp;2012;2011;Hotels & Entertainment Services;49.66942502;75.28223411;54.15421824;15.8974359
Las Vegas Sands Corp;2013;2012;Hotels & Entertainment Services;48.61382227;78.30532213;48.70556673;15.40831659
Las Vegas Sands Corp;2014;2013;Hotels & Entertainment Services;54.27698971;82.87911495;57.83046905;18.25663643
Las Vegas Sands Corp;2015;2014;Hotels & Entertainment Services;51.39788473;78.79256966;45.16926118;28.1092568
Lear Corp;2010;2009;Automobiles & Auto Parts;24.67211341;23.41452206;31.15096831;18.53305626
Lear Corp;2013;2012;Automobiles & Auto Parts;;25.28511405;50.40241449;12.13114754
Leggett & Platt Inc;2008;2007;Household Goods;16.16287202;15.58823529;17.74647887;14.96023614
Leggett & Platt Inc;2015;2014;Household Goods;47.65498498;59.05882353;53.07042254;28.63929503
LendingClub Corp;2017;2016;Banking Services;31.10537988;39.44546569;25.9903169;27.76183295
Lennar Corp;2014;2013;Homebuilding & Construction Supplies;25.63026197;16.2552521;37.21076459;22.60214696
Leucadia National Corp;2012;2011;Investment Holding Companies;19.06973836;3.661464586;25.51020408;28.74989491
Leucadia National Corp;2013;2012;Investment Holding Companies;20.3014834;9.219457014;25.59588299;26.49288379
Lexicon Pharmaceuticals Inc;2016;2015;Biotechnology & Medical Research;43.14657236;53.49264706;53.52912932;19.52862772
Lexicon Pharmaceuticals Inc;2017;2016;Biotechnology & Medical Research;50.64227938;54.0308292;68.26319362;26.35529086
LGI Homes Inc;2017;2016;Homebuilding & Construction Supplies;36.09459623;37.97058824;40.95070423;28.35113517
Liberty Broadband Corp;2016;2015;Media & Publishing;26.49788576;35.76680672;22.46981891;20.85372379
Liberty Broadband Corp;2017;2016;Media & Publishing;24.6987473;36.56075569;19.31222371;17.74508509
Liberty Expedia Holdings Inc;2017;2016;Software & IT Services;19.64278977;23.23966761;21.2183884;13.79926198
Liberty Interactive Corp;2008;2007;Diversified Retail;28.47903139;25.26737968;40.6347174;17.91081187
