ID;Name;Year;E-Score-1;S-Score-1;G-Score-1;TRYear
80;Albemarle Corp;2008;13,31097561;19,71646341;12,96800595;-40,50085161
80;Albemarle Corp;2009;9,623595506;17,48314607;25,0366784;57,18651478
80;Albemarle Corp;2010;10,21287129;16,23514851;27,05208333;47,25075217
80;Albemarle Corp;2011;19,152;19,57;26,6654002;3,709777189
80;Albemarle Corp;2012;19,71923077;21,86346154;21,23435897;25,80709207
80;Albemarle Corp;2013;19,95149254;21,38059701;26,24639547;-1,122012773
80;Albemarle Corp;2014;20,03985507;19,47463768;24,84949239;3,53202087
80;Albemarle Corp;2015;21,85106383;19,2570922;24,51301301;-10,56495298
80;Albemarle Corp;2016;22,48214286;22,34672619;24,41231454;44,68533751
80;Albemarle Corp;2017;20,01657459;18,2058011;19,0541543;44,26193227
81;Alcoa Corp;2017;31,32343234;28,26155116;26,81718949;80,95819943
83;Alexander & Baldwin Inc;2013;17,03819444;18,65104167;25,19567456;39,62067079
83;Alexander & Baldwin Inc;2014;14,9025974;21,8474026;17,50279188;-1,381423982
83;Alexander & Baldwin Inc;2015;12,52631579;19,93567251;22,43668669;-9,37501705
83;Alexander & Baldwin Inc;2016;13,50777202;23,94300518;23,85919881;32,09134987
83;Alexander & Baldwin Inc;2017;14,45049505;22,19678218;22,5504451;56,32888369
84;Alexander's Inc;2016;11,17647059;14,05347594;11,99480712;14,59731779
84;Alexander's Inc;2017;10,89534884;10,46860465;11,13416702;-2,134452168
85;Alexandria Real Estate Equities Inc;2010;12,27173913;9,29076087;11,12213542;16,11734172
85;Alexandria Real Estate Equities Inc;2011;11,640625;12,0703125;12,47619048;1,061058834
85;Alexandria Real Estate Equities Inc;2012;19,6039604;14,11386139;9,44974359;4,569123614
85;Alexandria Real Estate Equities Inc;2013;18,45098039;10,74019608;13,73429454;-7,275693916
85;Alexandria Real Estate Equities Inc;2014;19,55454545;9,225;13,83477157;42,55108332
85;Alexandria Real Estate Equities Inc;2015;19,33613445;11,84243697;15,88013013;1,654463699
85;Alexandria Real Estate Equities Inc;2016;21,92780749;18,75935829;17,94020772;30,19637703
85;Alexandria Real Estate Equities Inc;2017;23,83953488;20,73837209;18,24947011;21,82450776
86;Alexion Pharmaceuticals Inc;2010;13,46153846;14,26538462;21,04713542;52,46979897
86;Alexion Pharmaceuticals Inc;2011;13,36805556;14,06597222;20,09194529;65,19498818
86;Alexion Pharmaceuticals Inc;2012;11,87333333;17,47;21,56205128;28,71968571
86;Alexion Pharmaceuticals Inc;2013;10,90909091;16,37012987;20,07723996;33,74571169
86;Alexion Pharmaceuticals Inc;2014;11,24390244;16,66158537;22,64187817;60,75643074
86;Alexion Pharmaceuticals Inc;2015;9,188888889;14,16666667;16,2525025;2,29329889
86;Alexion Pharmaceuticals Inc;2016;8,882352941;15,21078431;19,534273;-38,56831804
86;Alexion Pharmaceuticals Inc;2017;9,087155963;14,39449541;19,67041119;4,581340994
87;Align Technology Inc;2016;11,37373737;11,80050505;2,950890208;41,23260278
87;Align Technology Inc;2017;13,06617647;15,00735294;4,015896566;98,55452383
88;Alleghany Corp;2009;10,32283465;6,942913386;11,27875587;-0,535421729
88;Alleghany Corp;2010;9,587591241;7,379562044;12,29296875;9,329488031
88;Alleghany Corp;2011;8,556291391;7,367549669;18,2993921;-2,76534236
88;Alleghany Corp;2012;7,81;8,475;16,19641026;18,32419632
88;Alleghany Corp;2013;8,108552632;11,14309211;5,030895984;16,81602561
88;Alleghany Corp;2014;7,796178344;11,65127389;8,376903553;18,27860553
88;Alleghany Corp;2015;9,913580247;14,19753086;12,27752753;1,46063266
88;Alleghany Corp;2016;11,2037037;16,19179894;17,24643917;27,06259849
88;Alleghany Corp;2017;12,53755869;14,12910798;20,84590928;-0,440538095
89;Allegheny Technologies Inc;2008;15,73195876;17,8685567;15,55803571;-96,27377799
89;Allegheny Technologies Inc;2009;20,74842767;17,75314465;19,21537559;66,03637517
89;Allegheny Technologies Inc;2010;23,18844221;16,4861809;19,02942708;27,92871047
89;Allegheny Technologies Inc;2011;24,42753623;18,55434783;20,38145897;-5,77629403
89;Allegheny Technologies Inc;2012;17,89716312;17,91666667;16,32974359;-41,12967916
89;Allegheny Technologies Inc;2013;16,08020478;15,89846416;20,36354274;24,8281794
89;Allegheny Technologies Inc;2014;13,71043771;18,22390572;20,69568528;8,514169726
89;Allegheny Technologies Inc;2015;13,65771812;18,47818792;21,39964965;-93,33682537
89;Allegheny Technologies Inc;2016;16,95602606;14,92589577;17,71290801;60,13633589
89;Allegheny Technologies Inc;2017;17,04620462;15,94224422;19,04599407;51,7995832
90;Allegiance Bancshares Inc;2017;10,828125;19,67100694;8,59495549;4,352111816
91;Allegiant Travel Co;2016;5,606557377;11,38934426;13,21439169;6,76938137
91;Allegiant Travel Co;2017;6,204545455;13,35227273;13,72509538;-5,357292657
92;ALLETE Inc;2016;10,21854305;8,937086093;23,90934718;32,78246336
92;ALLETE Inc;2017;10,42857143;8,841614907;22,22700297;22,64424365
93;Alliance Data Systems Corp;2008;8,973684211;16,74736842;12,69642857;-13,767523
93;Alliance Data Systems Corp;2009;7,589108911;9,908415842;12,11091549;51,26488453
93;Alliance Data Systems Corp;2010;7,61637931;13,86853448;7,535677083;14,50777724
93;Alliance Data Systems Corp;2011;7,507936508;15,25;12,39766971;38,97876539
93;Alliance Data Systems Corp;2012;12,62692308;16,17884615;12,79538462;34,75240857
93;Alliance Data Systems Corp;2013;10,94402985;14,35820896;9,326467559;60,82643531
93;Alliance Data Systems Corp;2014;19,04609929;19,32446809;17,8248731;9,747991473
93;Alliance Data Systems Corp;2015;21,91059603;21,70033113;20,62037037;-5,178944779
93;Alliance Data Systems Corp;2016;24,28426396;22,88959391;26,71557864;-2,203574115
93;Alliance Data Systems Corp;2017;20,20905172;24,52262931;26,09262399;14,91972696
94;Alliant Energy Corp;2008;16,8880597;18,39925373;18,703125;-34,40265448
94;Alliant Energy Corp;2009;17,77894737;20,07105263;20,18368545;12,59367519
94;Alliant Energy Corp;2010;16,91509434;16,125;22,52760417;25,15886718
94;Alliant Energy Corp;2011;19,984;15,154;20,37107396;23,84394193
94;Alliant Energy Corp;2012;16,1;12,42708333;23,66230769;5,260492392
